Key	Value
 BitsPerPixel	16
 DimensionOrder	XYCZT
 IsInterleaved	false
 IsRGB	false
 LittleEndian	true
 PixelType	uint16
Field 49 i_Image1 Capture_Depth	16.0
Field 49 i_Image1 Image_Depth	16.0
Field 49 i_Image1 Image_Exposure1	0.003021
Field 49 i_Image1 Image_Height	2048.0
Field 49 i_Image1 Image_Width	2048.0
Field 49 i_Image1 Image_eCoeff1	0.48
Field 49 i_Image1 Image_eOffset1	100.0
Field 5 Binning	1.0
Field 5 Capture_Depth	16.0
Field 5 Image_Depth	16.0
Field 5 Image_Height	2048.0
Field 5 Image_Width	2048.0
Field 5 Time_From_Last	0.03332600000000001
Field 5 Time_From_Start	0.133303
Field 5 i_Image1 Binning	1.0
Field 5 i_Image1 Capture_Depth	16.0
